"","10_WT_B_S18","11_WT_C_S19","12_WT_D_S20","13_TRMB_A_S21","16_TRMB_D_S24","1_WT_A_S9","2_WT_B_S10","3_WT_C_S11","4_WT_D_S12","5_TRMB_A_S13","7_TRMB_C_S15","9_WT_A_S17","aBWT_C_noglu_24_S20_SP","aCWT_D_noglu_24_S21_SP","RWT_A_glu_24_S41_S1","SWT_B_glu_24_S16_SP","TWT_C_glu_24_S17_SP","UWT_D_glu_24_S46_S1","ZWT_A_noglu_24_S47_S1"
"HAH_RS00005",3866,5438,3995,2604,3439,8402,6229,4656,5006,6676,8837,5239,15012,16035,7933,7608,10494,15504,15658
"HAH_RS00010",6558,7496,5209,4625,5337,13735,9266,6492,7995,9924,8819,7965,13499,14246,8719,10579,13935,18924,11769
"HAH_RS00015",2295,3556,2367,750,730,6258,3913,3359,3710,4115,4376,3006,4941,6549,5232,6501,10411,16597,4462
"HAH_RS00020",7068,8020,5844,3152,3096,16037,12739,8105,8885,14135,11778,8129,13712,17243,5733,7622,11667,16819,15692
"HAH_RS00025",7646,12008,5506,10487,12864,9845,6786,5363,4909,7643,7618,9834,21860,21697,9390,12908,11431,12074,15735
"HAH_RS00030",2045,1992,1433,1153,1463,3976,3253,2082,2927,3199,3139,2521,3122,4228,2236,3099,4224,5284,3530
"HAH_RS00035",98,121,85,44,43,111,102,95,85,102,89,124,234,247,119,157,180,238,176
"HAH_RS00040",6227,9808,4894,4372,4412,11800,9972,7555,6265,9852,9913,6941,21801,21819,12114,14930,15483,14544,17753
"HAH_RS00045",415,494,350,352,358,558,487,378,345,453,442,479,1117,982,675,784,646,583,903
"HAH_RS00050",2501,2992,1845,1241,1351,2924,2576,1925,1823,2536,2628,2821,5468,5617,3006,3371,3545,3998,4841
"HAH_RS00055",485,523,329,177,156,937,884,572,667,868,759,627,660,924,459,697,965,1306,714
"HAH_RS00060",4653,4725,4115,3585,3640,6728,5815,3714,4250,6064,5257,5754,9120,9561,4840,6776,6382,7046,9739
"HAH_RS00065",7065,11219,4672,6568,8037,16298,13650,10578,9220,12532,14896,8667,18329,19347,17158,20268,24797,23859,15975
"HAH_RS00070",1320,1315,805,776,743,2287,2013,1745,1673,1762,2251,1350,2901,2945,3054,4106,4493,4373,2585
"HAH_RS00075",190,236,164,98,86,143,177,191,106,153,218,168,655,600,465,539,469,274,745
"HAH_RS00080",49,90,73,54,55,160,182,243,114,158,214,67,122,211,165,311,288,297,161
"HAH_RS00085",2945,4222,1789,1097,1342,2446,2149,1893,1629,1920,1936,2994,11330,10130,8332,8693,7125,5189,8218
"HAH_RS00090",3813,3498,3129,3266,3584,6869,5062,3241,4140,4995,5372,4651,6941,7889,3827,4823,6320,8274,7124
"HAH_RS00095",69,60,69,73,83,66,79,67,73,72,101,67,336,309,124,186,169,160,314
"HAH_RS00100",1195,1189,912,789,827,2386,2114,1417,1722,2117,1917,1482,1527,2231,1343,1932,2611,3274,1837
"HAH_RS00105",717,835,469,438,434,1056,872,661,690,931,890,913,1182,1292,944,1134,1258,1330,1101
"HAH_RS00110",3689,4866,3402,3366,3624,7305,6868,5011,4236,6760,6235,4167,11004,11330,6109,8397,8319,8770,9536
"HAH_RS00115",932,1339,769,895,1030,1802,1334,1054,975,1298,1202,1248,2363,2422,1597,1792,2023,2115,2190
"HAH_RS00120",164,108,110,40,48,299,176,136,172,177,153,198,116,226,109,178,180,214,183
"HAH_RS00125",207,206,122,143,144,252,199,151,155,223,183,215,493,576,392,492,619,677,484
"HAH_RS00130",162,180,102,46,32,238,211,178,188,194,207,178,327,400,234,291,397,555,250
"HAH_RS00135",4255,4879,3419,3865,4071,8658,7344,5268,5077,7619,6406,5181,7489,7706,4648,5843,6792,8109,7499
"HAH_RS00140",1866,2146,1330,1133,1121,3787,3820,3010,2169,3845,3604,2223,3080,3594,2671,4145,4102,4107,2924
"HAH_RS00145",2241,3058,1508,1297,1373,3214,2938,2319,2195,2955,2691,2511,6859,6144,4326,5813,4949,4451,4995
"HAH_RS00150",606,881,498,326,356,1374,1008,941,881,958,1223,806,2839,2782,2552,2902,3985,5072,2405
"HAH_RS00155",30233,40264,18255,43979,52751,110930,95855,68014,59360,94445,81799,40782,72736,107842,95814,108766,133463,139513,56822
"HAH_RS00160",16516,23307,10401,22803,27141,65877,56793,40606,33705,56323,48283,23157,44541,62019,57921,64136,82772,84759,37408
"HAH_RS00165",792,893,571,487,528,1133,875,557,834,957,796,921,1512,1939,832,1044,1268,1783,1481
"HAH_RS00170",9398,12144,7730,12006,14001,10455,8083,7079,4828,7662,8311,11155,18874,18882,14405,15152,15921,16125,16327
"HAH_RS00175",3640,4074,2654,2113,2157,6767,5617,3468,4069,5772,4493,4591,4269,5703,2793,3737,4377,5513,5455
"HAH_RS00180",211,94,274,81,74,412,280,138,174,174,154,241,84,144,73,155,240,235,210
"HAH_RS19060",5040,6630,2697,4116,6189,13282,13714,12026,9107,12532,15453,6189,28274,29423,42082,54093,36683,22935,18168
