locus_tag,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,old_locus_tag,annotation
HAH_RS00005,7131.738219623402,-0.06799877305598132,0.16901067600349504,-0,1,1,HAH_0001,ORC1-type DNA replication protein
HAH_RS00010,9115.32149927322,0.18901325017421353,0.12002257836973597,0,1,1,HAH_0002,S26 family signal peptidase
HAH_RS00015,3948.7555224553234,0.28027418203234405,0.33511065332933593,0,1,1,HAH_0003,S26 family signal peptidase
HAH_RS00020,9055.403763124736,-0.0831430427723072,0.24478903486196835,-0,1,1,HAH_0004,DNA-directed DNA polymerase II small subunit
HAH_RS00025,10474.388795982864,-0.11443451417189798,0.21765611840409174,-0,1,1,HAH_0005,O-acetylhomoserine aminocarboxypropyltransferase/cysteine synthase
HAH_RS00030,2593.024407364167,0.19650764573880633,0.15786295611715837,0,1,1,HAH_0006,phosphoserine phosphatase SerB
HAH_RS00035,108.67504524513463,-0.3581929706233408,0.162107997592972,-0,1,NA,HAH_0007,hypothetical protein
HAH_RS00040,10544.447344769345,0.05566668543458729,0.13938501968724606,0,1,1,HAH_0008,ATP-dependent DNA helicase
HAH_RS00045,565.4449061541136,-0.044037088768964984,0.10726776844839588,-0,1,1,HAH_0009,hypothetical protein
HAH_RS00050,2632.944055384199,-0.344855974777534,0.10045787964370866,-0,1,1,HAH_0010,cation diffusion facilitator family transporter
HAH_RS00055,584.6628737661076,0.16981829687215036,0.2475208653483861,0,1,1,HAH_0011,metallophosphoesterase
HAH_RS00060,5947.500797514903,-0.05527974555260037,0.1683986018931014,-0,1,1,HAH_0012,helix-turn-helix domain-containing protein
HAH_RS00065,12891.222415647117,0.48078814901830547,0.097331249120189825,0,1,1,HAH_0014,aminopeptidase
HAH_RS00070,2105.3776533172213,0.5083237600157883,0.1251672840117653,0,1,1,HAH_0015,hypothetical protein
HAH_RS00075,259.66942234765037,-0.3707313911486898,0.1527164371124673,-0,1,1,HAH_0016,DUF21 domain-containing protein
HAH_RS00080,150.6751727056158,0.8945327271721676,0.19930394703582963,0,1,NA,HAH_0017,zinc ribbon domain-containing protein
HAH_RS00085,3821.067536825334,-0.4607722426077969,0.2463660470573447,-0,1,1,HAH_0018,hypothetical protein
HAH_RS00090,5085.915978074342,0.13601943839856712,0.1689189994209908,0,1,1,HAH_0019,radical SAM protein
HAH_RS00095,134.35979155373485,-0.01701949700457022,0.24896799948444256,-0,1,NA,HAH_0020,tetracycline resistance MFS efflux pump
HAH_RS00100,1594.469575475539,0.35845391894774653,0.15349581278957405,0,1,1,NA,zinc ribbon domain-containing protein
HAH_RS00105,843.0341499530047,0.05924612555480745,0.08125814029555478,0,1,1,HAH_0021,phosphate-starvation-inducible PsiE family protein
HAH_RS00110,6297.9214948047975,0.20338445964750576,0.1187272598917073,0,1,1,HAH_0022,DUF373 family protein
HAH_RS00115,1441.2591741258332,0.09956258596266211,0.07460539552078178,0,1,1,HAH_0023,hypothetical protein
HAH_RS00120,139.325097720535,-0.09473827615093004,0.23564057295909643,-0,1,NA,HAH_0024,tRNA-Arg
HAH_RS00125,287.70006313278395,0.1435085583965909,0.13087418247822846,0,1,1,HAH_0025,group 1 truncated hemoglobin
HAH_RS00130,186.47175269915795,-0.034931887827776203,0.29768344557718157,-0,1,1,HAH_0026,hypothetical protein
HAH_RS00135,5899.466071234343,0.23166720724547535,0.11290532196615852,0,1,1,HAH_0027,TRAM domain-containing protein
HAH_RS00140,2696.265321281036,0.44150056886840194,0.1358178352786879,0,1,1,HAH_0028,SDR family oxidoreductase
HAH_RS00145,3237.6862424671913,0.03910250138068739,0.07523828237793805,0,1,1,HAH_0029,mannose-1-phosphate guanylyltransferase
HAH_RS00150,1501.9602182678211,0.3570480226555165,0.16825698670060668,0,1,1,HAH_0030,hypothetical protein
HAH_RS00155,74458.62970062015,1.0445390190068442,0.14622448223011636,0.30459344651159215,0.7606758119176066,1,HAH_0031,replication protein A
HAH_RS00160,43328.145926030156,1.0292754801456683,0.15250771806440652,0.19196064643302024,0.8477730316886961,1,HAH_0032,hypothetical protein
HAH_RS00165,912.1017384432641,-0.15393347796017406,0.118528051892836,-0,1,1,HAH_0033,VOC family protein
HAH_RS00170,12979.425019259468,0.12205797723218957,0.22110978708898363,0,1,1,HAH_0034,CopG family transcriptional regulator
HAH_RS00175,3945.650800500377,-0.031436826807087453,0.13257318521626252,-0,1,1,HAH_0035,DUF5814 domain-containing protein
HAH_RS00180,159.02423946740836,-0.25875147546594557,0.3042411593327319,-0,1,NA,HAH_0036,tRNA-His
HAH_RS19060,17254.59181736031,1.0446272265919516,0.20622980325840698,0.21639562219837585,0.8286793784144332,1,NA,HNH endonuclease
HAH_RS00190,3344.7642945502043,0.8783343177172388,0.25029000849899885,0,1,1,HAH_0039,hypothetical protein
HAH_RS00195,2802.832172909199,0.5815288755953,0.19983165602472816,0,1,1,HAH_0040,phosphoribosyltransferase
HAH_RS00200,2080.2178901956904,-0.039118270037028904,0.10174479418201014,-0,1,1,HAH_0041,CBS domain-containing protein
HAH_RS00205,492.6499105129949,0.16941321390919659,0.09357729750846686,0,1,1,HAH_0042,cupin domain-containing protein
HAH_RS00210,21658.840864628753,0.21311778390950314,0.17677959248868666,0,1,1,HAH_0043,DEAD/DEAH box helicase
HAH_RS00215,13381.664649905022,-0.05706249100281622,0.16954340443571503,-0,1,1,HAH_0044,hypothetical protein
HAH_RS19780,414.0227439069536,-0.009867943005655437,0.12099314009716401,-0,1,1,HAH_0045,hypothetical protein
HAH_RS00220,3714.7638924004054,-0.40729870981309513,0.11112104153531341,-0,1,1,HAH_0046,SLC13 family permease
HAH_RS00225,320.9895317403,-0.08639011526899086,0.2609911553339159,-0,1,1,HAH_0047,tRNA-Pro
