locus_tag,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,old_locus_tag,annotation
HAH_RS00005,7212.595100206874,0.020279587869481527,0.16133295140715923,0,1,1,HAH_0001,ORC1-type DNA replication protein
HAH_RS00010,9278.777801185788,0.2625009875892848,0.1299335923918732,0,1,1,HAH_0002,S26 family signal peptidase
HAH_RS00015,4397.575853854949,0.5175516841624079,0.3071154007145091,0,1,1,HAH_0003,S26 family signal peptidase
HAH_RS00020,9775.570774031039,0.0771656318297807,0.23927267122595552,0,1,1,HAH_0004,DNA-directed DNA polymerase II small subunit
HAH_RS00025,10509.00266760774,-0.13414118193997837,0.23921747200287186,-0,1,1,HAH_0005,O-acetylhomoserine aminocarboxypropyltransferase/cysteine synthase
HAH_RS00030,2781.506878758166,0.35389371994011054,0.16227201749944545,0,1,1,HAH_0006,phosphoserine phosphatase SerB
HAH_RS00035,118.75392437554466,-0.22390145771958306,0.146656989153066,-0,1,1,HAH_0007,hypothetical protein
HAH_RS00040,10023.489809425628,0.042156128275761436,0.10545793045096348,0,1,1,HAH_0008,ATP-dependent DNA helicase
HAH_RS00045,537.1425884589629,-0.11142732111885008,0.09153705564878234,-0,1,1,HAH_0009,hypothetical protein
HAH_RS00050,2795.060869575937,-0.28079962667807445,0.06206097773859876,-0,1,1,HAH_0010,cation diffusion facilitator family transporter
HAH_RS00055,640.3304021688068,0.34902618027356896,0.2511466918610371,0,1,1,HAH_0011,metallophosphoesterase
HAH_RS00060,5682.440196199502,-0.1114548424920503,0.09076943222279069,-0,1,1,HAH_0012,helix-turn-helix domain-containing protein
HAH_RS00065,12945.337507836039,0.5704437974634293,0.08773972619653118,0,1,1,HAH_0014,aminopeptidase
HAH_RS00070,2039.97782541173,0.5946146795775146,0.13636676684311835,0,1,1,HAH_0015,hypothetical protein
HAH_RS00075,257.9769997409395,-0.3447412224611097,0.1582781019986694,-0,1,1,HAH_0016,DUF21 domain-containing protein
HAH_RS00080,150.17919357216513,1.016048697138128,0.23341143307026518,0.0687571166802987,0.9451829531946652,1,HAH_0017,zinc ribbon domain-containing protein
HAH_RS00085,3791.1723792452435,-0.46069591179355596,0.13697930967532232,-0,1,1,HAH_0018,hypothetical protein
HAH_RS00090,4966.489804139534,0.13932748288818725,0.13355846466963994,0,1,1,HAH_0019,radical SAM protein
HAH_RS00095,115.22676410435695,-0.15885177840545833,0.19728856114183455,-0,1,1,HAH_0020,tetracycline resistance MFS efflux pump
HAH_RS00100,1685.3197457044405,0.4927630042026355,0.16162513628182054,0,1,1,NA,zinc ribbon domain-containing protein
HAH_RS00105,865.2193412292839,0.1254827414778455,0.0875453858206364,0,1,1,HAH_0021,phosphate-starvation-inducible PsiE family protein
HAH_RS00110,6086.405234041175,0.20638353236975768,0.09847096045562383,0,1,1,HAH_0022,DUF373 family protein
HAH_RS00115,1420.4493990127796,0.11559768608745578,0.0852916409174374,0,1,1,HAH_0023,hypothetical protein
HAH_RS00120,154.8286816251361,0.07787630206547493,0.24909458893740358,0,1,1,HAH_0024,tRNA-Arg
HAH_RS00125,277.5043129513665,0.14018019566422338,0.11499084698652798,0,1,1,HAH_0025,group 1 truncated hemoglobin
HAH_RS00130,208.44492453145548,0.18665242961772976,0.26414298727367364,0,1,1,HAH_0026,hypothetical protein
HAH_RS00135,5974.751923435988,0.2787693611882527,0.1000448667882007,0,1,1,HAH_0027,TRAM domain-containing protein
HAH_RS00140,2776.8680956865987,0.5374989033290194,0.15165664947485127,0,1,1,HAH_0028,SDR family oxidoreductase
HAH_RS00145,3143.6988205621838,0.04180025500993868,0.08643646610845239,0,1,1,HAH_0029,mannose-1-phosphate guanylyltransferase
HAH_RS00150,1441.3715947999444,0.46279269489950287,0.18448359005937515,0,1,1,HAH_0030,hypothetical protein
HAH_RS00155,73281.7428467357,1.1375217671915225,0.12615307624126215,1.0901182221551085,0.2756610703788247,1,HAH_0031,replication protein A
HAH_RS00160,42812.49142847354,1.1397687310377704,0.1318590524403821,1.0599858595295502,0.2891510324312635,1,HAH_0032,hypothetical protein
HAH_RS00165,952.9977046612207,-0.07622938358223554,0.132948631950299,-0,1,1,HAH_0033,VOC family protein
HAH_RS00170,11867.620690805423,0.014180250369042675,0.22913485913320136,0,1,1,HAH_0034,CopG family transcriptional regulator
HAH_RS00175,4263.117648816669,0.08415002106048047,0.14236115798219207,0,1,1,HAH_0035,DUF5814 domain-containing protein
HAH_RS00180,189.29788251283404,0.01171729060942626,0.3120134455621435,0,1,1,HAH_0036,tRNA-His
HAH_RS19060,15269.178016300557,1.0614730020447514,0.17218228759286144,0.35702279778108836,0.721074738794443,1,NA,HNH endonuclease
HAH_RS00190,3074.5384769346147,0.9342348438141411,0.19429308843138587,0,1,1,HAH_0039,hypothetical protein
HAH_RS00195,2750.02597857232,0.6685507880706048,0.1902140836652112,0,1,1,HAH_0040,phosphoribosyltransferase
HAH_RS00200,1956.7000166906844,-0.09266319807519646,0.10479193672123281,-0,1,1,HAH_0041,CBS domain-containing protein
HAH_RS00205,485.54676792650645,0.21607557076522427,0.09908382173854806,0,1,1,HAH_0042,cupin domain-containing protein
HAH_RS00210,22417.014802103375,0.2881462826417304,0.16801359571068944,0,1,1,HAH_0043,DEAD/DEAH box helicase
HAH_RS00215,13849.48902112328,0.01037645602546013,0.15763133012104374,0,1,1,HAH_0044,hypothetical protein
HAH_RS19780,437.96413341904474,0.05539629353558504,0.13302415893698116,0,1,1,HAH_0045,hypothetical protein
HAH_RS00220,3909.190519450454,-0.353512259546787,0.10024003561842175,-0,1,1,HAH_0046,SLC13 family permease
HAH_RS00225,361.2731334806257,0.07575505840027713,0.28528116692531125,0,1,1,HAH_0047,tRNA-Pro
HAH_RS00230,867.9776481633684,0.42075230204746816,0.20714005038173208,0,1,1,HAH_0048,methyl-accepting chemotaxis protein
HAH_RS00235,273.20815356205117,0.5159923966683849,0.22802969261853076,0,1,1,HAH_0049,BMP family protein
HAH_RS00240,19652.86278733224,0.5329239278037122,0.1946590035295243,0,1,1,HAH_0050,helix-turn-helix domain-containing protein
HAH_RS00245,1313.6282754264976,0.5286538439953913,0.23037673145231072,0,1,1,HAH_0051,hypothetical protein
HAH_RS00250,128.29835641065472,0.5264302895540435,0.1524741226587064,0,1,1,HAH_0052,hypothetical protein
HAH_RS00255,666.0481081346593,0.5303951787619601,0.12003866021604125,0,1,1,HAH_0053,hypothetical protein
HAH_RS00260,168.30692628060027,1.0138803333436688,0.2340085283081992,0.05931550206318888,0.9527008139936722,1,HAH_0054,hypothetical protein
