rowname,10_WT_B_S18,11_WT_C_S19,12_WT_D_S20,13_TRMB_A_S21,14_TRMB_B_S22,15_TRMB_C_S23,16_TRMB_D_S24,1_WT_A_S9,2_WT_B_S10,3_WT_C_S11,4_WT_D_S12,5_TRMB_A_S13,6_TRMB_B_S14,7_TRMB_C_S15,8_TRMB_D_S16,9_WT_A_S17,aBWT_C_noglu_24_S20_SP,aCWT_D_noglu_24_S21_SP,aFTrmB_C_noglu_24_S48_S1,aGTrmB_D_noglu_24_S42_S1,RWT_A_glu_24_S41_S1,SWT_B_glu_24_S16_SP,TWT_C_glu_24_S17_SP,UWT_D_glu_24_S46_S1,VTrmB_A_glu_24_S25_S1,WTrmB_B_glu_24_S11_S1,XTrmB_C_glu_24_S26_S1,YTrmB_D_glu_24_S18_SP,ZWT_A_noglu_24_S47_S1
HAH_RS00005,4826.694325491206,5729.97587169164,6662.036560359977,4816.279139920488,4375.300275048892,6292.016560844841,5859.828822752882,7895.296966826842,6492.892467654189,6583.506698087534,7651.838514347859,7281.476225810672,8247.269995934326,9197.866308780587,7701.663599722595,5828.358836873153,9121.788469814453,9834.612392288784,9114.03835264123,10397.600982908683,6701.379835935689,5358.251099923899,7436.458939372871,11631.78085033324,4753.567797186207,5692.56304143643,6126.944444697151,5412.046302809704,9797.074689582627
HAH_RS00010,8187.651677850834,7898.473544354641,8686.495229765987,8554.259225089192,8197.79202030506,8780.539715905581,9093.895442579857,12906.677438629693,9658.555402999473,9179.58021563236,12220.625034400946,10824.051837169729,10656.080504096559,9179.131263679528,9700.229278104092,8861.01892263689,8202.439551960118,8737.379990055879,9359.3421356408,10248.72943349108,7365.351164694727,7450.701680611846,9874.886155913948,14197.614861436161,6803.331147184221,6908.793933342744,8449.537083508872,6797.3984420339175,7363.761145848635
HAH_RS00015,2865.303537765731,3746.927951404096,3947.194127252081,1387.1771716360852,1177.3123637906463,1226.3205708993132,1243.871776856529,5880.596098357817,4078.774799475171,4749.570231717359,5670.859146670107,4488.207709588213,4171.972332579115,4554.697631235017,3900.9768776685933,3344.1585538539225,3002.3152697410883,4016.6433774305738,1637.6727399625333,1632.9055483289278,4419.717547159401,4578.6002103844985,7377.641892301407,12451.79739247812,3944.526927239994,3630.6186562726584,5005.32447785969,3590.390561164282,2791.834670131414
HAH_RS00020,8824.385797354329,8450.608034381567,9745.417186168637,5829.843259995921,5082.819724442309,6150.599214458862,5275.379481024403,15069.849733039999,13278.6895401263,11460.335435566894,13581.019816216685,15416.966215073973,14391.86593624878,12258.964511125694,11752.55875124805,9043.468025375427,8331.865407547015,10575.50492549021,8457.580744676974,9804.923682397093,4842.935913200467,5368.1111834411095,8267.692628708146,12618.351530040942,3592.5180975230205,5203.058348099523,5785.880413964944,4327.16739921519,9818.348194464848
HAH_RS00025,9546.017799458292,12652.730832525416,9181.770538508643,19396.435998596833,18018.16197788569,18588.99357643761,21919.4062157293,9251.27334425259,7073.489851581527,7583.192960017922,7503.57076846457,8336.177770202361,8476.29689088143,7929.087421103373,6486.808621916976,10940.27119713888,13282.860108589392,13307.239480853741,8437.524460532355,10514.638364526296,7932.17656112897,9090.997002867729,8100.453796071211,9058.444400601364,6749.0087969192555,7716.853219420438,8454.878130970004,8383.262075093215,9845.252921227657
HAH_RS00030,2553.1789693816645,2098.9540155222044,2389.661674842515,2132.5537051952083,2199.9138079805984,2201.467048963827,2492.855355535756,3736.2176553324834,3390.813805952653,2943.9134332942967,4474.017445364799,3489.1315827394155,2987.707634586312,3267.183698456746,2969.4157414959445,2804.598707340565,1897.030615691495,2593.1238662049877,1534.305737063344,1770.54150911124,1888.854823289071,2182.59991570244,2993.2916485526025,3964.2885715403017,2096.8427202276503,1893.2535369984369,2251.633008256699,1791.667219107037,2208.690359830545
HAH_RS00035,122.3528308065541,127.49670475812587,141.74545873106334,81.38106073598367,60.37499301490493,71.7640265242283,73.26915945867226,104.30587518659598,106.32124445348006,134.32842274877916,129.92534433071674,111.25083508578318,113.93800301388478,92.63438966634291,108.56150865497013,137.94932158279653,142.18615120813897,151.4904434608874,69.42559896214226,56.17794317645394,100.52492127522336,110.57379372871348,127.55504184173022,178.5580393691506,114.439084558193,79.82691922109558,98.42787464083843,94.66964958196027,110.1216723314946
HAH_RS00040,7774.39874931033,10334.60892783222,8161.203235644988,8086.318125857286,7378.956177540412,9194.238221751133,7517.756547247954,11088.372317133628,10394.465193040227,10682.64456702133,9576.262143905182,10745.521835932705,11230.37407484331,10317.805671488284,9408.664083430744,7721.824525049925,13247.009754224946,13382.064720134018,16579.604427703594,20639.77632302918,10233.268036370218,10515.07477942479,10971.859515752827,10911.546741953473,8103.4460635257165,10388.795760896355,10737.031410433165,9358.18306271365,11107.898005119452
HAH_RS00045,518.1267835175505,520.5237367811089,583.657771245555,651.0484858878693,588.6561818953231,658.5404786929186,610.0083508419691,524.3484536407258,507.63182400828225,534.4857242004055,527.3440446364385,494.08459111627235,478.76979044218257,460.0494408148715,481.8063146020579,532.8848793399962,678.7262004251762,602.2818440428804,793.7660148004932,862.331427758568,570.2043853846703,552.1646769637666,457.7808723875429,437.3921720681294,566.401038762702,528.6650688038594,573.7810986814767,537.441364707526,564.9992620189751
HAH_RS00050,3122.494182114202,3152.6457903827486,3076.7102512801393,2295.3158266671758,2413.1130020644814,2446.3090218111943,2302.0147541550286,2747.661072482943,2685.132605021222,2721.918039909472,2786.5165025281954,2766.001154681825,2926.710521861707,2735.316584754485,2824.667063289318,3138.347066008621,3322.537926521811,3445.0276150599375,1624.5590157141287,1342.6528419172491,2539.310196246399,2374.1672526082366,2512.1256851607423,2999.4749638565722,2107.7071902806433,2442.2518776793677,2350.0608828975373,2125.657038750226,3028.9716804361665
HAH_RS00055,605.5216626650891,551.0807982520647,548.6383049708217,327.3738125061161,364.1366766211454,295.49893274682245,265.8136947802994,880.4919373859499,921.4507852634938,808.798503287386,1019.5318196304478,946.7227926907824,866.6193562571237,789.9944017612838,811.6265170871576,697.5340696162373,401.03786238193044,566.7091893030768,307.0154265214735,298.67939788814675,387.7389820615758,490.89130082110375,683.8367520959425,979.8184849416416,403.43398796780696,434.52955085445427,485.27231218273823,368.6824241483794,446.7436025266315
