rowname,10_WT_B_S18,11_WT_C_S19,12_WT_D_S20,13_TRMB_A_S21,16_TRMB_D_S24,1_WT_A_S9,2_WT_B_S10,3_WT_C_S11,4_WT_D_S12,5_TRMB_A_S13,7_TRMB_C_S15,9_WT_A_S17,aBWT_C_noglu_24_S20_SP,aCWT_D_noglu_24_S21_SP,RWT_A_glu_24_S41_S1,SWT_B_glu_24_S16_SP,TWT_C_glu_24_S17_SP,UWT_D_glu_24_S46_S1,ZWT_A_noglu_24_S47_S1
HAH_RS00005,4758.585575071679,5675.052778760783,6590.439769886939,4779.327699860935,5834.292003845427,7782.5378501903915,6404.338720070553,6513.086794932522,7529.659138439311,7183.480955071802,9086.860783333103,5750.593187862652,9004.565419569313,9718.074169289208,6637.2280717246795,5268.225567025325,7355.514816158577,11496.907960531149,9670.535642306264
HAH_RS00010,8072.116968784291,7822.764919012657,8593.141617356963,8488.629267226124,9054.264735249504,12722.346747484531,9526.82655003592,9081.391639326017,12025.494369121514,10678.380017695112,9068.351844315337,8742.789605139533,8097.030948492284,8633.843755266234,7294.843256947874,7325.520277807691,9767.400320485016,14032.990598883607,7268.650783899759
HAH_RS00015,2824.8716748032857,3711.012813768544,3904.7737009567923,1376.5344757663986,1238.4510505400297,5796.610553022075,4023.146156949121,4698.766869454112,5580.3107078725225,4427.804692947942,4499.728730096827,3299.538675837971,2963.732862915799,3969.0469432288755,4377.407950493322,4501.673818510993,7297.337978942914,12307.4162423204,2755.7753248161034
HAH_RS00020,8699.866229851688,8369.607077172026,9640.683358002321,5785.115556820918,5252.389660920454,14854.625030171781,13097.587245942972,11337.750960680432,13364.167288260744,15209.482219883152,12111.01576395805,8922.804356582457,8224.793567355078,10450.18727165911,4796.574881532533,5277.919988415751,8177.7007204233005,12472.03915042398,9691.534378533011
HAH_RS00025,9411.3153923947375,12531.451593850585,9083.094211013138,19247.622729816296,21823.882622119098,9119.14843312597,6977.017587798808,7502.0800002626975,7383.75883152189,8223.988157521537,7833.394302074412,10794.2991810348,13112.163607233228,13149.551309701774,7856.242479956478,8938.256521971989,8012.282243520935,8953.409875867717,9718.091603760957
HAH_RS00030,2517.151448789856,2078.8350745295106,2363.9800225902336,2116.19233407821,2481.991625945292,3682.857711539752,3344.5679653860184,2912.424120929878,4402.579364405087,3442.1742922820094,3227.7533098203703,2767.1779779732283,1872.6520943175724,2562.3958582946534,1870.7729696680176,2145.9294206376817,2960.7103662525087,3918.3218307176594,2180.1629082476124
HAH_RS00035,120.62632859726449,126.2746204909994,140.2221227635519,80.75668924496205,72.94985640167297,102.81619868735224,104.87117505975219,132.89159053234314,127.8507844121737,109.75360356760393,91.51642069895283,136.10871450562487,140.35893339856244,149.6953114945079,99.56260437857517,108.71601130691063,126.16663492553305,176.48762220113605,108.69934046786962
HAH_RS00040,7664.69538954251,10235.549403105142,8073.494927115565,8024.278304067592,7484.994568469329,10930.010310907715,10252.69958525342,10568.378594440552,9423.354874614919,10600.906885765038,10193.284026839545,7618.7950595446955,13076.773961632734,13223.489884609993,10135.305793630754,10338.407954217679,10852.4333808446,10785.025114677826,10964.428359807325
HAH_RS00045,510.8155751822935,515.5344010128405,577.3852113793314,646.0535139596964,607.3499672511379,516.8598096175004,500.70845347156194,528.7686444339548,518.9237720258815,487.43512172671154,454.49728032513656,525.7747923241477,670.0039684025395,595.1449226218898,564.7458651725902,542.8875978638084,452.7980342327464,432.3205199296736,557.7017297868538
HAH_RS00050,3078.433141038352,3122.4269794138036,3043.6448999853324,2277.705712568134,2291.98269764326,2708.419504160522,2648.511244646291,2692.8032818395845,2742.0232939222665,2728.775869092584,2702.305096593798,3096.473255002966,3279.8403753134166,3404.2047152415016,2515.001586235269,2334.2781790802273,2484.7817822834145,2964.6954351266468,2989.8494727554366
