variable,ID,strain,media,condition,biorep,techrep,expt
12,trmB+25mM ribose,trmB,HhCa,25mM ribose,1,3,2021_sugar3
13,WT+none,WT,HhCa,none,2,1,2021_sugar3
14,trmB+25mM fructose,trmB,HhCa,25mM fructose,1,2,2021_sugar3
15,trmB+25mM xylose,trmB,HhCa,25mM xylose,1,2,2021_sugar3
16,WT+25mM pyruvate,WT,HhCa,25mM pyruvate,2,1,2021_sugar3
17,WT+25mM glucose,WT,HhCa,25mM glucose,1,1,2021_sugar3
18,trmB+none,trmB,HhCa,none,1,3,2021_sugar3
19,WT+25mM xylose,WT,HhCa,25mM xylose,2,2,2021_sugar3
22,WT+25mM ribose,WT,HhCa,25mM ribose,2,2,2021_sugar3
23,trmB+25mM ribose,trmB,HhCa,25mM ribose,2,2,2021_sugar3
24,trmB+25mM fructose,trmB,HhCa,25mM fructose,1,3,2021_sugar3
25,WT+25mM glycerol,WT,HhCa,25mM glycerol,2,2,2021_sugar3
26,WT+none,WT,HhCa,none,1,2,2021_sugar3
27,WT+25mM xylose,WT,HhCa,25mM xylose,2,1,2021_sugar3
28,WT+25mM glucose,WT,HhCa,25mM glucose,1,2,2021_sugar3
29,trmB+25mM xylose,trmB,HhCa,25mM xylose,2,1,2021_sugar3
32,WT+25mM glucose,WT,HhCa,25mM glucose,2,1,2021_sugar3
33,trmB+25mM glucose,trmB,HhCa,25mM glucose,2,1,2021_sugar3
34,WT+25mM acetate,WT,HhCa,25mM acetate,1,1,2021_sugar3
35,WT+none,WT,HhCa,none,2,3,2021_sugar3
36,trmB+25mM fructose,trmB,HhCa,25mM fructose,2,3,2021_sugar3
37,WT+25mM pyruvate,WT,HhCa,25mM pyruvate,1,2,2021_sugar3
38,WT+none,WT,HhCa,none,1,3,2021_sugar3
42,WT+25mM xylose,WT,HhCa,25mM xylose,1,1,2021_sugar3
43,trmB+25mM fructose,trmB,HhCa,25mM fructose,2,2,2021_sugar3
44,trmB+none,trmB,HhCa,none,2,3,2021_sugar3
45,WT+25mM galactose,WT,HhCa,25mM galactose,2,1,2021_sugar3
46,WT+25mM fructose,WT,HhCa,25mM fructose,2,2,2021_sugar3
48,trmB+25mM galactose,trmB,HhCa,25mM galactose,1,3,2021_sugar3
49,trmB+25mM xylose,trmB,HhCa,25mM xylose,1,1,2021_sugar3
52,WT+25mM sucrose,WT,HhCa,25mM sucrose,1,1,2021_sugar3
53,WT+25mM pyruvate,WT,HhCa,25mM pyruvate,1,1,2021_sugar3
