variable,ID,strain,media,condition,biorep,expt
12,AKS319+trmB+no carb,AKS319+trmB,HhCa+mev,no carb,a,2023_complementation1
13,AKS319+trmB+no carb,AKS319+trmB,HhCa+mev,no carb,b,2023_complementation1
14,AKS133+trmB-HA+25mM glucose,AKS133+trmB-HA,HhCa+mev,25mM glucose,a,2023_complementation1
15,AKS133+trmB-HA+25mM glucose,AKS133+trmB-HA,HhCa+mev,25mM glucose,c,2023_complementation1
16,AKS319+trmB+no carb,AKS319+trmB,HhCa+mev,no carb,a,2023_complementation1
17,AKS319+trmB+25mM glucose,AKS319+trmB,HhCa+mev,25mM glucose,a,2023_complementation1
18,AKS319+trmB+25mM glucose,AKS319+trmB,HhCa+mev,25mM glucose,b,2023_complementation1
19,AKS133+trmB+no carb,AKS133+trmB,HhCa+mev,no carb,a,2023_complementation1
22,AKS319+trmB+no carb,AKS319+trmB,HhCa+mev,no carb,b,2023_complementation1
23,AKS319+trmB+no carb,AKS319+trmB,HhCa+mev,no carb,b,2023_complementation1
24,AKS133+EV+no carb,AKS133+EV,HhCa+mev,no carb,a,2023_complementation1
25,AKS133+EV+25mM glucose,AKS133+EV,HhCa+mev,25mM glucose,a,2023_complementation1
26,AKS319+trmB+no carb,AKS319+trmB,HhCa+mev,no carb,a,2023_complementation1
27,AKS133+trmB+no carb,AKS133+trmB,HhCa+mev,no carb,a,2023_complementation1
28,AKS319+trmB+no carb,AKS319+trmB,HhCa+mev,no carb,b,2023_complementation1
29,AKS133+EV+25mM glucose,AKS133+EV,HhCa+mev,25mM glucose,a,2023_complementation1
32,AKS133+EV+no carb,AKS133+EV,HhCa+mev,no carb,a,2023_complementation1
33,AKS133+EV+25mM glucose,AKS133+EV,HhCa+mev,25mM glucose,a,2023_complementation1
34,AKS133+EV+no carb,AKS133+EV,HhCa+mev,no carb,a,2023_complementation1
35,AKS133+trmB-HA+no carb,AKS133+trmB-HA,HhCa+mev,no carb,b,2023_complementation1
36,AKS133+EV+no carb,AKS133+EV,HhCa+mev,no carb,a,2023_complementation1
37,AKS133+trmB-HA+no carb,AKS133+trmB-HA,HhCa+mev,no carb,d,2023_complementation1
38,AKS319+trmB+25mM glucose,AKS319+trmB,HhCa+mev,25mM glucose,b,2023_complementation1
39,AKS133+EV+no carb,AKS133+EV,HhCa+mev,no carb,a,2023_complementation1
42,AKS133+trmB+25mM glucose,AKS133+trmB,HhCa+mev,25mM glucose,b,2023_complementation1
43,AKS133+trmB+25mM glucose,AKS133+trmB,HhCa+mev,25mM glucose,a,2023_complementation1
44,AKS133+trmB-HA+25mM glucose,AKS133+trmB-HA,HhCa+mev,25mM glucose,a,2023_complementation1
45,AKS133+EV+no carb,AKS133+EV,HhCa+mev,no carb,c,2023_complementation1
46,AKS133+EV+25mM glucose,AKS133+EV,HhCa+mev,25mM glucose,c,2023_complementation1
47,AKS133+EV+25mM glucose,AKS133+EV,HhCa+mev,25mM glucose,c,2023_complementation1
48,AKS319+trmB+25mM glucose,AKS319+trmB,HhCa+mev,25mM glucose,a,2023_complementation1
49,AKS319+trmB+no carb,AKS319+trmB,HhCa+mev,no carb,a,2023_complementation1
52,AKS133+EV+no carb,AKS133+EV,HhCa+mev,no carb,c,2023_complementation1
53,AKS133+trmB+25mM glucose,AKS133+trmB,HhCa+mev,25mM glucose,b,2023_complementation1
54,AKS133+EV+25mM glucose,AKS133+EV,HhCa+mev,25mM glucose,c,2023_complementation1
55,AKS133+EV+25mM glucose,AKS133+EV,HhCa+mev,25mM glucose,a,2023_complementation1
56,AKS133+trmB+25mM glucose,AKS133+trmB,HhCa+mev,25mM glucose,a,2023_complementation1
57,AKS133+trmB+25mM glucose,AKS133+trmB,HhCa+mev,25mM glucose,a,2023_complementation1
58,AKS133+EV+25mM glucose,AKS133+EV,HhCa+mev,25mM glucose,a,2023_complementation1
59,AKS133+EV+no carb,AKS133+EV,HhCa+mev,no carb,a,2023_complementation1
