well,strain,media,condition,biorep,techrep
1,blank,HhCa,25mM acetate,,
2,blank,HhCa,25mM ribose,,
3,blank,HhCa,25mM glycerol,,
4,blank,HhCa,25mM pyruvate,,
5,blank,HhCa,25mM glucose,,
6,blank,HhCa,25mM glycerol,,
7,blank,HhCa,25mM pyruvate,,
8,blank,HhCa,none,,
9,blank,HhCa,none,,
10,blank,HhCa,25mM galactose,,
11,blank,HhCa,25mM pyruvate,,
17,trmB,HhCa,25mM glycerol,1,2
13,WT,HhCa,25mM ribose,1,1
15,WT,HhCa,25mM xylose,1,2
18,WT,HhCa,25mM glycerol,1,2
22,WT,HhCa,25mM pyruvate,1,1
19,trmB,HhCa,25mM galactose,1,3
23,WT,HhCa,25mM ribose,1,3
24,trmB,HhCa,none,1,2
20,blank,HhCa,none,,
21,blank,HhCa,25mM xylose,,
34,WT,HhCa,25mM xylose,1,3
43,WT,HhCa,25mM ribose,1,2
25,trmB,HhCa,25mM fructose,1,2
26,trmB,HhCa,25mM acetate,1,2
29,trmB,HhCa,25mM glucose,1,2
35,trmB,HhCa,25mM glycerol,1,3
39,trmB,HhCa,25mM glucose,1,1
59,trmB,HhCa,none,1,3
30,blank,HhCa,25mM fructose,,
31,blank,HhCa,25mM xylose,,
65,trmB,HhCa,25mM xylose,1,3
45,WT,HhCa,25mM xylose,1,1
47,WT,HhCa,none,1,1
68,trmB,HhCa,25mM galactose,1,1
73,trmB,HhCa,25mM acetate,1,3
75,trmB,HhCa,25mM fructose,1,3
85,trmB,HhCa,25mM galactose,1,2
114,trmB,HhCa,25mM xylose,1,2
40,blank,HhCa,25mM pyruvate,,
41,blank,HhCa,25mM glucose,,
49,WT,HhCa,25mM galactose,1,3
52,WT,HhCa,none,1,2
56,WT,HhCa,25mM glycerol,1,1
63,WT,HhCa,25mM pyruvate,1,3
119,trmB,HhCa,25mM sucrose,1,2
76,WT,HhCa,25mM glycerol,1,3
79,WT,HhCa,25mM sucrose,1,2
84,WT,HhCa,25mM glucose,1,2
