well,strain,media,condition,biorep,techrep
1,blank,Hh-CA+ura,25mM glucose,,
2,blank,Hh-CA+ura,25mM glycerol,,
3,blank,Hh-CA+ura,no carb,,
4,blank,Hh-CA+ura,25mM glucose,,
5,blank,Hh-CA+ura,25mM glycerol,,
6,blank,Hh-CA+ura,no carb,,
7,blank,Hh-CA+ura,25mM glucose,,
8,blank,Hh-CA+ura,25mM glycerol,,
9,blank,Hh-CA+ura,no carb,,
10,blank,Hh-CA+ura,25mM glucose,,
11,blank,Hh-CA+ura,25mM glycerol,,
27,DF60,Hh-CA+ura,25mM glucose,b,4
13,AKS318,Hh-CA+ura,25mM glycerol,b,3
14,AKS133,Hh-CA+ura,25mM glycerol,b,4
15,AKS319,Hh-CA+ura,no carb,a,4
16,ATCC33960,Hh-CA+ura,25mM glycerol,a,1
17,AKS318,Hh-CA+ura,no carb,a,3
18,ATCC33960,Hh-CA+ura,25mM glycerol,a,4
58,DF60,Hh-CA+ura,25mM glucose,b,5
20,blank,Hh-CA+ura,no carb,,
21,blank,Hh-CA+ura,25mM glucose,,
22,AKS319,Hh-CA+ura,25mM glucose,a,4
23,AKS318,Hh-CA+ura,25mM glycerol,a,2
24,AKS318,Hh-CA+ura,no carb,b,1
25,AKS318,Hh-CA+ura,25mM glycerol,b,2
26,AKS133,Hh-CA+ura,no carb,b,4
66,DF60,Hh-CA+ura,no carb,b,1
28,ATCC33960,Hh-CA+ura,25mM glucose,a,4
29,ATCC33960,Hh-CA+ura,no carb,a,1
30,blank,Hh-CA+ura,25mM glycerol,,
31,blank,Hh-CA+ura,no carb,,
32,AKS319,Hh-CA+ura,no carb,b,3
33,ATCC33960,Hh-CA+ura,25mM glycerol,a,3
34,ATCC33960,Hh-CA+ura,25mM glucose,a,5
74,DF60,Hh-CA+ura,25mM glucose,b,1
36,AKS133,Hh-CA+ura,no carb,a,2
37,AKS133,Hh-CA+ura,25mM glucose,a,3
83,DF60,Hh-CA+ura,25mM glycerol,b,3
39,AKS318,Hh-CA+ura,25mM glycerol,a,4
40,blank,Hh-CA+ura,25mM glucose,,
41,blank,Hh-CA+ura,25mM glycerol,,
42,AKS319,Hh-CA+ura,25mM glycerol,a,1
43,ATCC33960,Hh-CA+ura,no carb,b,3
85,DF60,Hh-CA+ura,25mM glucose,b,2
129,DF60,Hh-CA+ura,25mM glucose,b,3
46,AKS319,Hh-CA+ura,no carb,a,1
47,ATCC33960,Hh-CA+ura,no carb,a,2
48,AKS318,Hh-CA+ura,no carb,b,2
49,AKS318,Hh-CA+ura,no carb,b,3
50,blank,Hh-CA+ura,no carb,,
51,blank,Hh-CA+ura,25mM glucose,,
52,AKS319,Hh-CA+ura,25mM glucose,b,4
53,ATCC33960,Hh-CA+ura,25mM glycerol,b,4
54,AKS319,Hh-CA+ura,25mM glycerol,b,3
55,AKS318,Hh-CA+ura,25mM glycerol,b,4
56,AKS133,Hh-CA+ura,25mM glycerol,a,3
57,AKS318,Hh-CA+ura,no carb,a,2
134,DF60,Hh-CA+ura,25mM glycerol,b,5
147,DF60,Hh-CA+ura,25mM glycerol,b,4
60,blank,Hh-CA+ura,25mM glycerol,,
61,blank,Hh-CA+ura,no carb,,
62,ATCC33960,Hh-CA+ura,25mM glycerol,b,1
63,AKS133,Hh-CA+ura,25mM glucose,a,5
64,AKS318,Hh-CA+ura,25mM glucose,b,3
65,AKS133,Hh-CA+ura,25mM glycerol,a,4
166,DF60,Hh-CA+ura,no carb,b,3
67,AKS133,Hh-CA+ura,25mM glucose,a,1
68,ATCC33960,Hh-CA+ura,no carb,a,4
69,ATCC33960,Hh-CA+ura,no carb,b,4
70,blank,Hh-CA+ura,25mM glucose,,
71,blank,Hh-CA+ura,25mM glycerol,,
72,AKS133,Hh-CA+ura,25mM glucose,b,5
73,ATCC33960,Hh-CA+ura,25mM glycerol,a,2
177,DF60,Hh-CA+ura,25mM glycerol,b,1
75,AKS133,Hh-CA+ura,25mM glucose,b,4
76,AKS318,Hh-CA+ura,25mM glucose,a,3
77,AKS133,Hh-CA+ura,25mM glycerol,b,2
78,AKS319,Hh-CA+ura,25mM glucose,b,2
185,DF60,Hh-CA+ura,no carb,b,2
80,blank,Hh-CA+ura,no carb,,
81,blank,Hh-CA+ura,25mM glucose,,
82,ATCC33960,Hh-CA+ura,no carb,b,1
186,DF60,Hh-CA+ura,no carb,b,4
84,AKS318,Hh-CA+ura,no carb,b,4
189,DF60,Hh-CA+ura,25mM glycerol,b,2
86,AKS318,Hh-CA+ura,25mM glucose,a,2
87,ATCC33960,Hh-CA+ura,25mM glucose,a,2
88,AKS319,Hh-CA+ura,no carb,a,3
89,ATCC33960,Hh-CA+ura,25mM glycerol,b,3
90,blank,Hh-CA+ura,25mM glycerol,,
91,blank,Hh-CA+ura,no carb,,
92,blank,Hh-CA+ura,25mM glucose,,
93,blank,Hh-CA+ura,25mM glycerol,,
94,blank,Hh-CA+ura,no carb,,
95,blank,Hh-CA+ura,25mM glucose,,
96,blank,Hh-CA+ura,25mM glycerol,,
97,blank,Hh-CA+ura,no carb,,
98,blank,Hh-CA+ura,25mM glucose,,
99,blank,Hh-CA+ura,25mM glycerol,,
100,blank,Hh-CA+ura,no carb,,
101,blank,Hh-CA+ura,25mM glucose,,
102,blank,Hh-CA+ura,25mM glycerol,,
103,blank,Hh-CA+ura,no carb,,
104,blank,Hh-CA+ura,25mM glucose,,
105,blank,Hh-CA+ura,25mM glycerol,,
106,blank,Hh-CA+ura,no carb,,
107,blank,Hh-CA+ura,25mM glucose,,
108,blank,Hh-CA+ura,25mM glycerol,,
109,blank,Hh-CA+ura,no carb,,
110,blank,Hh-CA+ura,25mM glucose,,
111,blank,Hh-CA+ura,25mM glycerol,,
112,AKS319,Hh-CA+ura,no carb,b,1
113,ATCC33960,Hh-CA+ura,no carb,a,3
114,AKS133,Hh-CA+ura,25mM glycerol,b,3
115,ATCC33960,Hh-CA+ura,25mM glycerol,b,2
12,DF60,Hh-CA+ura,25mM glucose,a,2
117,ATCC33960,Hh-CA+ura,25mM glucose,b,5
118,AKS319,Hh-CA+ura,25mM glycerol,b,4
119,AKS133,Hh-CA+ura,25mM glycerol,a,5
120,blank,Hh-CA+ura,no carb,,
121,blank,Hh-CA+ura,25mM glucose,,
122,ATCC33960,Hh-CA+ura,25mM glucose,b,2
123,AKS318,Hh-CA+ura,no carb,a,1
124,AKS319,Hh-CA+ura,25mM glucose,b,3
125,AKS319,Hh-CA+ura,25mM glycerol,a,4
126,AKS133,Hh-CA+ura,25mM glycerol,b,1
127,AKS318,Hh-CA+ura,25mM glycerol,a,3
128,AKS319,Hh-CA+ura,25mM glycerol,b,2
19,DF60,Hh-CA+ura,no carb,a,4
130,blank,Hh-CA+ura,25mM glycerol,,
131,blank,Hh-CA+ura,no carb,,
35,DF60,Hh-CA+ura,25mM glucose,a,3
133,AKS133,Hh-CA+ura,25mM glucose,b,2
38,DF60,Hh-CA+ura,25mM glycerol,a,2
135,ATCC33960,Hh-CA+ura,25mM glycerol,a,5
136,AKS133,Hh-CA+ura,no carb,b,3
137,AKS319,Hh-CA+ura,no carb,a,2
138,AKS133,Hh-CA+ura,25mM glycerol,a,1
139,AKS318,Hh-CA+ura,25mM glycerol,b,1
140,blank,Hh-CA+ura,25mM glucose,,
141,blank,Hh-CA+ura,25mM glycerol,,
142,AKS319,Hh-CA+ura,25mM glucose,a,2
143,AKS319,Hh-CA+ura,no carb,b,2
144,ATCC33960,Hh-CA+ura,25mM glucose,b,3
145,AKS318,Hh-CA+ura,25mM glucose,b,2
146,AKS319,Hh-CA+ura,25mM glycerol,b,1
44,DF60,Hh-CA+ura,no carb,a,2
148,ATCC33960,Hh-CA+ura,25mM glucose,b,1
149,ATCC33960,Hh-CA+ura,25mM glucose,b,4
150,blank,Hh-CA+ura,no carb,,
151,blank,Hh-CA+ura,25mM glucose,,
152,AKS133,Hh-CA+ura,25mM glucose,b,3
153,AKS318,Hh-CA+ura,25mM glycerol,a,1
154,AKS133,Hh-CA+ura,no carb,b,2
155,AKS319,Hh-CA+ura,25mM glycerol,a,2
156,AKS133,Hh-CA+ura,no carb,a,1
157,AKS318,Hh-CA+ura,no carb,a,4
158,AKS133,Hh-CA+ura,no carb,a,4
159,AKS133,Hh-CA+ura,25mM glycerol,a,2
160,blank,Hh-CA+ura,25mM glycerol,,
161,blank,Hh-CA+ura,no carb,,
162,AKS133,Hh-CA+ura,25mM glucose,a,4
163,ATCC33960,Hh-CA+ura,25mM glucose,a,1
164,ATCC33960,Hh-CA+ura,25mM glucose,a,3
165,AKS319,Hh-CA+ura,no carb,b,4
45,DF60,Hh-CA+ura,no carb,a,1
167,AKS319,Hh-CA+ura,25mM glucose,a,3
168,AKS133,Hh-CA+ura,25mM glucose,b,1
59,DF60,Hh-CA+ura,25mM glucose,a,4
170,blank,Hh-CA+ura,25mM glucose,,
171,blank,Hh-CA+ura,25mM glycerol,,
172,ATCC33960,Hh-CA+ura,no carb,b,2
173,AKS318,Hh-CA+ura,25mM glucose,a,4
174,AKS319,Hh-CA+ura,25mM glucose,b,1
175,AKS319,Hh-CA+ura,25mM glycerol,a,3
176,AKS318,Hh-CA+ura,25mM glucose,a,1
79,DF60,Hh-CA+ura,no carb,a,3
178,AKS133,Hh-CA+ura,no carb,b,1
179,AKS318,Hh-CA+ura,25mM glucose,b,4
180,blank,Hh-CA+ura,no carb,,
181,blank,Hh-CA+ura,25mM glucose,,
182,AKS319,Hh-CA+ura,25mM glucose,a,1
183,AKS133,Hh-CA+ura,25mM glucose,a,2
184,AKS318,Hh-CA+ura,25mM glucose,b,1
116,DF60,Hh-CA+ura,25mM glycerol,a,4
132,DF60,Hh-CA+ura,25mM glycerol,a,1
187,AKS133,Hh-CA+ura,no carb,a,3
169,DF60,Hh-CA+ura,25mM glycerol,a,3
188,DF60,Hh-CA+ura,25mM glucose,a,1
190,blank,Hh-CA+ura,25mM glucose,,
191,blank,Hh-CA+ura,25mM glycerol,,
192,blank,Hh-CA+ura,no carb,,
193,blank,Hh-CA+ura,25mM glucose,,
194,blank,Hh-CA+ura,25mM glycerol,,
195,blank,Hh-CA+ura,no carb,,
196,blank,Hh-CA+ura,25mM glucose,,
197,blank,Hh-CA+ura,25mM glycerol,,
198,blank,Hh-CA+ura,no carb,,
199,blank,Hh-CA+ura,25mM glucose,,
200,blank,Hh-CA+ura,25mM glycerol,,
