peak_rank,peak,overlap,start,stop,type
15,546,71,1,71,promoter
15,546,19,72,90,motif
15,546,4,91,94,promoter
15,546,144,95,238,coding
15,546,2,239,240,promoter
15,546,61,241,301,coding
14,918,106,1,106,coding
14,918,43,107,149,promoter
14,918,22,150,171,motif
14,918,93,172,264,promoter
14,918,37,265,301,coding
13,2048,67,1,67,coding
13,2048,71,68,138,promoter
13,2048,19,139,157,motif
13,2048,13,158,170,promoter
13,2048,131,171,301,coding
12,2168,83,1,83,promoter
12,2168,19,84,102,motif
12,2168,2,103,104,promoter
12,2168,197,105,301,intergenic
11,2639,45,1,45,coding
11,2639,86,46,131,promoter
11,2639,19,132,150,motif
11,2639,14,151,164,promoter
11,2639,137,165,301,coding
10,5642,119,1,119,coding
10,5642,53,120,172,promoter
10,5642,22,173,194,motif
10,5642,53,195,247,promoter
10,5642,54,248,301,coding
9,7715,8,1,8,coding
9,7715,119,9,127,promoter
9,7715,19,128,146,motif
9,7715,53,147,199,promoter
9,7715,102,200,301,coding
8,7922,137,1,137,promoter
8,7922,19,138,156,motif
8,7922,61,157,217,promoter
8,7922,84,218,301,coding
7,8374,105,1,105,coding
7,8374,33,106,138,promoter
7,8374,22,139,160,motif
7,8374,66,161,226,promoter
7,8374,75,227,301,coding
6,9538,6,1,6,coding
6,9538,126,7,132,promoter
6,9538,19,133,151,motif
6,9538,60,152,211,promoter
6,9538,90,212,301,coding
5,10328,105,1,105,coding
5,10328,41,106,146,promoter
5,10328,19,147,165,motif
5,10328,37,166,202,promoter
5,10328,99,203,301,coding
4,15060,160,1,160,intergenic
4,15060,19,161,179,motif
4,15060,122,180,301,intergenic
3,24038,99,1,99,coding
3,24038,36,100,135,promoter
3,24038,22,136,157,motif
3,24038,16,158,173,promoter
3,24038,128,174,301,coding
2,24740,114,1,114,coding
2,24740,10,115,124,promoter
2,24740,19,125,143,motif
2,24740,85,144,228,promoter
2,24740,73,229,301,coding
1,44296,11,1,11,coding
1,44296,122,12,133,promoter
1,44296,22,134,155,motif
1,44296,125,156,280,promoter
1,44296,21,281,301,coding
