"# Program:featureCounts v2.0.1; Command:""featureCounts"" ""-p"" ""-B"" ""-s"" ""2"" ""-t"" ""gene"" ""-g"" ""locus_tag"" ""-a"" ""00_genome/genomic.gff"" ""-o"" ""HCA_featureCounts_2021.txt"" ""bams/aAWT_B_noglu_24_S19_SP_sorted.bam"" ""bams/aBWT_C_noglu_24_S20_SP_sorted.bam"" ""bams/aCWT_D_noglu_24_S21_SP_sorted.bam"" ""bams/aFTrmB_C_noglu_24_S48_S1_sorted.bam"" ""bams/aGTrmB_D_noglu_24_S42_S1_sorted.bam"" ""bams/HCA_ref_RNA_S7_S1_sorted.bam"" ""bams/JTrmB_A_glu_48_S45_S1_sorted.bam"" ""bams/LTrmB_C_glu_48_S8_S1_sorted.bam"" ""bams/NTrmB_A_noglu_48_S9_S1_sorted.bam"" ""bams/OTrmB_B_noglu_48_S24_S1_sorted.bam"" ""bams/QTrmB_D_noglu_48_S10_S1_sorted.bam"" ""bams/RWT_A_glu_24_S41_S1_sorted.bam"" ""bams/SWT_B_glu_24_S16_SP_sorted.bam"" ""bams/TWT_C_glu_24_S17_SP_sorted.bam"" ""bams/UWT_D_glu_24_S46_S1_sorted.bam"" ""bams/VTrmB_A_glu_24_S25_S1_sorted.bam"" ""bams/WTrmB_B_glu_24_S11_S1_sorted.bam"" ""bams/XTrmB_C_glu_24_S26_S1_sorted.bam"" ""bams/YTrmB_D_glu_24_S18_SP_sorted.bam"" ""bams/ZWT_A_noglu_24_S47_S1_sorted.bam"" "																									
Geneid	Chr	Start	End	Strand	Length	bams/aAWT_B_noglu_24_S19_SP_sorted.bam	bams/aBWT_C_noglu_24_S20_SP_sorted.bam	bams/aCWT_D_noglu_24_S21_SP_sorted.bam	bams/aFTrmB_C_noglu_24_S48_S1_sorted.bam	bams/HCA_ref_RNA_S7_S1_sorted.bam	bams/aGTrmB_D_noglu_24_S42_S1_sorted.bam	bams/JTrmB_A_glu_48_S45_S1_sorted.bam	bams/LTrmB_C_glu_48_S8_S1_sorted.bam	bams/NTrmB_A_noglu_48_S9_S1_sorted.bam	bams/OTrmB_B_noglu_48_S24_S1_sorted.bam	bams/QTrmB_D_noglu_48_S10_S1_sorted.bam	bams/RWT_A_glu_24_S41_S1_sorted.bam	bams/SWT_B_glu_24_S16_SP_sorted.bam	bams/TWT_C_glu_24_S17_SP_sorted.bam	bams/UWT_D_glu_24_S46_S1_sorted.bam	bams/VTrmB_A_glu_24_S25_S1_sorted.bam	bams/WTrmB_B_glu_24_S11_S1_sorted.bam	bams/XTrmB_C_glu_24_S26_S1_sorted.bam	bams/YTrmB_D_glu_24_S18_SP_sorted.bam	bams/ZWT_A_noglu_24_S47_S1_sorted.bam
HAH_RS00005	NC_015948.1	1	1575	+	1575	6521	15012	16035	11815	14130	11105	6602	6893	13916	9789	4976	7933	7608	10494	15504	6563	7559	8030	9204	15658
HAH_RS00010	NC_015948.1	1645	2298	-	654	5911	13499	14246	12133	9990	10946	11588	11787	10343	14815	5593	8719	10579	13935	18924	9393	9174	11074	11560	11769
HAH_RS00015	NC_015948.1	2427	3137	-	711	2007	4941	6549	2123	7220	1744	4556	4621	1634	2290	773	5232	6501	10411	16597	5446	4821	6560	6106	4462
HAH_RS00020	NC_015948.1	3226	4794	+	1569	6554	13712	17243	10964	19578	10472	4683	6576	7852	7859	3831	5733	7622	11667	16819	4960	6909	7583	7359	15692
HAH_RS00025	NC_015948.1	5143	6441	+	1299	9097	21860	21697	10938	7910	11230	9500	8308	19183	14874	7488	9390	12908	11431	12074	9318	10247	11081	14257	15735
HAH_RS00030	NC_015948.1	6730	7362	-	633	1493	3122	4228	1989	4192	1891	1764	2542	3484	4427	1587	2236	3099	4224	5284	2895	2514	2951	3047	3530
HAH_RS00035	NC_015948.1	7412	8035	-	624	92	234	247	90	803	60	116	142	85	150	26	119	157	180	238	158	106	129	161	176
HAH_RS00040	NC_015948.1	8338	10515	-	2178	10272	21801	21819	21493	10025	22044	12894	12789	15001	15422	7766	12114	14930	15483	14544	11188	13795	14072	15915	17753
HAH_RS00045	NC_015948.1	10593	11345	+	753	529	1117	982	1029	414	921	1141	877	628	976	330	675	784	646	583	782	702	752	914	903
HAH_RS00050	NC_015948.1	11324	12295	-	972	2537	5468	5617	2106	3153	1434	2704	2747	2405	2618	1006	3006	3371	3545	3998	2910	3243	3080	3615	4841
HAH_RS00055	NC_015948.1	12362	12871	+	510	287	660	924	398	855	319	484	550	190	382	128	459	697	965	1306	557	577	636	627	714
HAH_RS00060	NC_015948.1	12930	13613	-	684	4597	9120	9561	12868	6298	13341	7462	7628	10673	16461	5976	4840	6776	6382	7046	5001	5672	6186	7930	9739
HAH_RS00065	NC_015948.1	13942	15033	+	1092	8247	18329	19347	12400	11621	10352	15396	13569	13250	13768	6158	17158	20268	24797	23859	18115	17322	17939	20870	15975
HAH_RS00070	NC_015948.1	15123	15497	+	375	1190	2901	2945	3443	1716	2636	3991	3601	1714	3667	1134	3054	4106	4493	4373	3597	3150	3659	4031	2585
HAH_RS00075	NC_015948.1	15501	16016	-	516	365	655	600	263	590	229	689	623	162	375	109	465	539	469	274	464	584	452	614	745
HAH_RS00080	NC_015948.1	16124	16444	+	321	86	122	211	265	111	126	581	621	84	315	60	165	311	288	297	184	208	277	258	161
