# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-B" "-s" "2" "-t" "gene" "-g" "locus_tag" "-a" "00_genome/genomic.gff" "-o" "HCA_featureCounts_2022.txt" "03_aligned_sorted/10_WT_B_S18_sorted.bam" "03_aligned_sorted/11_WT_C_S19_sorted.bam" "03_aligned_sorted/12_WT_D_S20_sorted.bam" "03_aligned_sorted/13_TRMB_A_S21_sorted.bam" "03_aligned_sorted/14_TRMB_B_S22_sorted.bam" "03_aligned_sorted/15_TRMB_C_S23_sorted.bam" "03_aligned_sorted/16_TRMB_D_S24_sorted.bam" "03_aligned_sorted/17_WT_ref_S25_sorted.bam" "03_aligned_sorted/1_WT_A_S9_sorted.bam" "03_aligned_sorted/2_WT_B_S10_sorted.bam" "03_aligned_sorted/3_WT_C_S11_sorted.bam" "03_aligned_sorted/4_WT_D_S12_sorted.bam" "03_aligned_sorted/5_TRMB_A_S13_sorted.bam" "03_aligned_sorted/6_TRMB_B_S14_sorted.bam" "03_aligned_sorted/7_TRMB_C_S15_sorted.bam" "03_aligned_sorted/8_TRMB_D_S16_sorted.bam" "03_aligned_sorted/9_WT_A_S17_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	03_aligned_sorted/10_WT_B_S18_sorted.bam	03_aligned_sorted/11_WT_C_S19_sorted.bam	03_aligned_sorted/12_WT_D_S20_sorted.bam	03_aligned_sorted/13_TRMB_A_S21_sorted.bam	03_aligned_sorted/14_TRMB_B_S22_sorted.bam	03_aligned_sorted/15_TRMB_C_S23_sorted.bam	03_aligned_sorted/16_TRMB_D_S24_sorted.bam	03_aligned_sorted/17_WT_ref_S25_sorted.bam	03_aligned_sorted/1_WT_A_S9_sorted.bam	03_aligned_sorted/2_WT_B_S10_sorted.bam	03_aligned_sorted/3_WT_C_S11_sorted.bam	03_aligned_sorted/4_WT_D_S12_sorted.bam	03_aligned_sorted/5_TRMB_A_S13_sorted.bam	03_aligned_sorted/6_TRMB_B_S14_sorted.bam	03_aligned_sorted/7_TRMB_C_S15_sorted.bam	03_aligned_sorted/8_TRMB_D_S16_sorted.bam	03_aligned_sorted/9_WT_A_S17_sorted.bam
HAH_RS00005	NC_015948.1	1	1575	+	1575	3866	5438	3995	2604	2319	2981	3439	11635	8402	6229	4656	5006	6676	7166	8837	7449	5239
HAH_RS00010	NC_015948.1	1645	2298	-	654	6558	7496	5209	4625	4345	4160	5337	8655	13735	9266	6492	7995	9924	9259	8819	9382	7965
HAH_RS00015	NC_015948.1	2427	3137	-	711	2295	3556	2367	750	624	581	730	5362	6258	3913	3359	3710	4115	3625	4376	3773	3006
HAH_RS00020	NC_015948.1	3226	4794	+	1569	7068	8020	5844	3152	2694	2914	3096	16715	16037	12739	8105	8885	14135	12505	11778	11367	8129
HAH_RS00025	NC_015948.1	5143	6441	+	1299	7646	12008	5506	10487	9550	8807	12864	7140	9845	6786	5363	4909	7643	7365	7618	6274	9834
HAH_RS00030	NC_015948.1	6730	7362	-	633	2045	1992	1433	1153	1166	1043	1463	3818	3976	3253	2082	2927	3199	2596	3139	2872	2521
HAH_RS00035	NC_015948.1	7412	8035	-	624	98	121	85	44	32	34	43	699	111	102	95	85	102	99	89	105	124
HAH_RS00040	NC_015948.1	8338	10515	-	2178	6227	9808	4894	4372	3911	4356	4412	9296	11800	9972	7555	6265	9852	9758	9913	9100	6941
HAH_RS00045	NC_015948.1	10593	11345	+	753	415	494	350	352	312	312	358	407	558	487	378	345	453	416	442	466	479
HAH_RS00050	NC_015948.1	11324	12295	-	972	2501	2992	1845	1241	1279	1159	1351	2596	2924	2576	1925	1823	2536	2543	2628	2732	2821
HAH_RS00055	NC_015948.1	12362	12871	+	510	485	523	329	177	193	140	156	681	937	884	572	667	868	753	759	785	627
HAH_RS00060	NC_015948.1	12930	13613	-	684	4653	4725	4115	3585	3186	2567	3640	4867	6728	5815	3714	4250	6064	5458	5257	5612	5754
HAH_RS00065	NC_015948.1	13942	15033	+	1092	7065	11219	4672	6568	6745	6709	8037	10907	16298	13650	10578	9220	12532	12402	14896	11973	8667
HAH_RS00070	NC_015948.1	15123	15497	+	375	1320	1315	805	776	689	633	743	1554	2287	2013	1745	1673	1762	1627	2251	1978	1350
