chr,acc,locus_tag,old_locus_tag,length_nt,start,end,strand,type,annotation
NC_015948.1,WP_014039040.1,HAH_RS00005,HAH_0001,1575,1,1575,+,protein_coding,ORC1-type DNA replication protein
NC_015943.1,WP_014030565.1,HAH_RS15125,HAH_4001,1209,1,1209,+,protein_coding,AAA family ATPase
NC_015944.1,WP_004594978.1,HAH_RS17310,HAH_5001,1245,1,1245,+,protein_coding,orc1/cdc6 family replication initiation protein
NC_015943.1,WP_014030566.1,HAH_RS15130,HAH_4002,2181,1367,3547,-,protein_coding,cadmium-translocating P-type ATPase
NC_015948.1,WP_014039041.1,HAH_RS00010,HAH_0002,654,1645,2298,-,protein_coding,S26 family signal peptidase
NC_015944.1,WP_014030998.1,HAH_RS17315,HAH_5002,357,1783,2139,-,protein_coding,hypothetical protein
NC_015948.1,WP_023843027.1,HAH_RS00015,HAH_0003,711,2427,3137,-,protein_coding,S26 family signal peptidase
NC_015944.1,WP_225308151.1,HAH_RS17320,HAH_5003,471,2636,3106,+,protein_coding,hypothetical protein
NC_015944.1,WP_008311719.1,HAH_RS17325,HAH_5004,600,3135,3734,-,protein_coding,TetR/AcrR family transcriptional regulator
NC_015948.1,WP_014039043.1,HAH_RS00020,HAH_0004,1569,3226,4794,+,protein_coding,DNA-directed DNA polymerase II small subunit
NC_015943.1,WP_023842874.1,HAH_RS15135,NA,429,3672,4100,-,protein_coding,universal stress protein
NC_015944.1,WP_014031001.1,HAH_RS17330,HAH_5005,1935,4218,6152,+,protein_coding,COG1361 S-layer family protein
NC_015943.1,WP_023842875.1,HAH_RS19715,NA,150,4313,4462,+,protein_coding,hypothetical protein
NC_015943.1,NA,HAH_RS20145,NA,174,4544,4717,-,pseudogene,FAD:protein FMN transferase
NC_015948.1,WP_044951534.1,HAH_RS00025,HAH_0005,1299,5143,6441,+,protein_coding,O-acetylhomoserine aminocarboxypropyltransferase/cysteine synthase
NC_015944.1,WP_014031002.1,HAH_RS17335,HAH_5006,2493,6180,8672,+,protein_coding,MMPL family transporter
NC_015943.1,WP_225306838.1,HAH_RS20150,NA,309,6492,6800,+,protein_coding,hypothetical protein
NC_015948.1,WP_014039045.1,HAH_RS00030,HAH_0006,633,6730,7362,-,protein_coding,phosphoserine phosphatase SerB
NC_015943.1,WP_008308706.1,HAH_RS15150,HAH_4006,291,6868,7158,+,protein_coding,winged helix-turn-helix domain-containing protein
NC_015948.1,WP_014039046.1,HAH_RS00035,HAH_0007,624,7412,8035,-,protein_coding,hypothetical protein
NC_015943.1,NA,HAH_RS19555,HAH_4008,96,7764,7859,-,pseudogene,IS1595 family transposase
NC_015943.1,WP_014030572.1,HAH_RS19195,HAH_4009,210,7893,8102,+,protein_coding,hypothetical protein
NC_015948.1,WP_014039047.1,HAH_RS00040,HAH_0008,2178,8338,10515,-,protein_coding,ATP-dependent DNA helicase
NC_015944.1,WP_014031003.1,HAH_RS17340,HAH_5007,597,8818,9414,+,protein_coding,TetR/AcrR family transcriptional regulator
NC_015943.1,NA,HAH_RS15165,HAH_4010,1472,8832,10303,+,rRNA,16S ribosomal RNA
NC_015944.1,WP_008311726.1,HAH_RS17345,HAH_5008,657,9680,10336,-,protein_coding,lactate utilization protein
NC_015948.1,WP_014039048.1,HAH_RS00045,HAH_0009,753,10593,11345,+,protein_coding,hypothetical protein
NC_015943.1,NA,HAH_RS15170,HAH_4011,2931,10673,13603,+,rRNA,23S ribosomal RNA
NC_015944.1,WP_044952784.1,HAH_RS17350,HAH_5009,1212,10882,12093,+,protein_coding,ABC transporter substrate-binding protein
NC_015948.1,WP_014039049.1,HAH_RS00050,HAH_0010,972,11324,12295,-,protein_coding,cation diffusion facilitator family transporter
NC_015944.1,WP_014031006.1,HAH_RS17355,HAH_5010,1113,12098,13210,+,protein_coding,iron ABC transporter permease
